chrom	trans_id	strand	gene_id	gene_name	transcript_biotype	gene_start	gene_stop	CDS_start	CDS_stop	CDS_length	5UTR_length	3UTR_length	transcript_length
19	ENST00000253719	-	ENSG00000131400	NAPSA	protein_coding	50358477	50365639	19	1281	1263	18	76	1357
10	ENST00000646907	+	ENSG00000178217	SH2D4B	protein_coding	80537902	80646560	431	1732	1302	430	2475	4207
4	ENST00000341285	-	ENSG00000118564	FBXL5	protein_coding	15604381	15655357	71	2146	2076	70	1342	3488
5	ENST00000381405	-	ENSG00000164283	ESM1	protein_coding	54977867	54985593	77	631	555	76	1465	2096
6	ENST00000448612	-	ENSG00000184465	WDR27	protein_coding	169457212	169702029	487	3174	2688	486	380	3554
1	ENST00000505139	+	ENSG00000251246	EFNA4-EFNA3	protein_coding	155063748	155086807	77	778	702	76	264	1042
8	ENST00000317827	+	ENSG00000147526	TACC1	protein_coding	38787236	38853028	348	2765	2418	347	5005	7770
1	ENST00000368145	-	ENSG00000203757	OR6K3	protein_coding	158716327	158720720	56	1003	948	55	841	1844
1	ENST00000294785	+	ENSG00000162736	NCSTN	protein_coding	160343383	160358949	15	2144	2130	14	678	2822
Y	ENST00000423647	+	ENSG00000258992	TSPY1	protein_coding	9466955	9469748	47	931	885	46	240	1171
9	ENST00000374228	-	ENSG00000119457	SLC46A2	protein_coding	112878920	112890876	196	1623	1428	195	842	2465
8	ENST00000520792	-	ENSG00000215354	FAM90A24P	protein_coding	8019429	8024652	416	1810	1395	415	559	2369
X	ENST00000423387	+	ENSG00000238205	MPC1L	protein_coding	40623428	40624136	139	549	411	138	160	709
20	ENST00000382291	+	ENSG00000125841	NRSN2	protein_coding	347024	354868	241	855	615	240	1233	2088
2	ENST00000407834	-	ENSG00000185176	AQP12B	protein_coding	240676418	240682885	49	972	924	48	127	1099
12	ENST00000547939	-	ENSG00000167552	TUBA1A	protein_coding	49184771	49187404	518	1768	1251	517	239	2007
19	ENST00000591517	-	ENSG00000104814	MAP4K1	protein_coding	38587641	38617924	30	2531	2502	29	169	2700
5	ENST00000355472	+	ENSG00000198055	GRK6	protein_coding	177426676	177442891	171	1901	1731	170	1101	3002
17	ENST00000612727	-	ENSG00000274512	TBC1D3L	protein_coding	37978155	37989060	1541	3190	1650	1540	315	3505
3	ENST00000319332	-	ENSG00000090530	P3H2	protein_coding	189956728	190120897	167	2293	2127	166	1184	3477
4	ENST00000515560	+	ENSG00000164129	NPY5R	protein_coding	163344102	163351934	1523	2860	1338	1522	323	3183
2	ENST00000392687	+	ENSG00000172292	CERS6	protein_coding	168456249	168775134	201	1379	1179	200	5472	6851
12	ENST00000257940	+	ENSG00000135482	ZC3H10	protein_coding	56118266	56127514	170	1474	1305	169	5647	7121
17	ENST00000254722	+	ENSG00000132386	SERPINF1	protein_coding	1762060	1777565	63	1319	1257	62	119	1438
3	ENST00000343849	+	ENSG00000182533	CAV3	protein_coding	8733802	8746758	76	531	456	75	891	1422
19	ENST00000270061	+	ENSG00000130511	SSBP4	protein_coding	18419398	18434562	252	1409	1158	251	316	1725
19	ENST00000263379	+	ENSG00000104998	IL27RA	protein_coding	14031762	14053218	112	2022	1911	111	928	2950
5	ENST00000264664	-	ENSG00000070193	FGF10	protein_coding	44300247	44389420	739	1365	627	738	4748	6113
1	ENST00000370272	+	ENSG00000117505	DR1	protein_coding	93345907	93369493	740	1270	531	739	8854	10124
6	ENST00000360004	-	ENSG00000196126	HLA-DRB1	protein_coding	32578775	32589848	107	907	801	106	316	1223
19	ENST00000593091	-	ENSG00000105088	OLFM2	protein_coding	9853718	9913836	220	1656	1437	219	468	2124
11	ENST00000533211	-	ENSG00000173898	SPTBN2	protein_coding	66682497	66729216	590	7762	7173	589	3374	11136
1	ENST00000420304	-	ENSG00000143768	LEFTY2	protein_coding	225936598	225941383	244	1242	999	243	843	2085
11	ENST00000020926	-	ENSG00000019505	SYT13	protein_coding	45240302	45286341	135	1415	1281	134	3750	5165
11	ENST00000164139	-	ENSG00000068976	PYGM	protein_coding	64746398	64759974	77	2605	2529	76	261	2866
11	ENST00000265689	-	ENSG00000110721	CHKA	protein_coding	68052859	68121388	212	1585	1374	211	1129	2714
13	ENST00000620021	+	ENSG00000150403	TMCO3	protein_coding	113548303	113554590	1	285	285	0	3257	3542
20	ENST00000202677	-	ENSG00000188559	RALGAPA2	protein_coding	20389530	20712644	165	5786	5622	164	3759	9545
20	ENST00000371856	-	ENSG00000124214	STAU1	protein_coding	49113339	49188334	379	2112	1734	378	1539	3651
17	ENST00000409446	-	ENSG00000267060	PTGES3L	protein_coding	42968104	42980433	381	737	357	380	1044	1781
1	ENST00000270800	-	ENSG00000142677	IL22RA1	protein_coding	24119771	24143140	59	1783	1725	58	1034	2817
9	ENST00000361671	+	ENSG00000135040	NAA35	protein_coding	85941146	86025462	134	2311	2178	133	3502	5813
14	ENST00000437553	-	ENSG00000100814	CCNB1IP1	protein_coding	20311368	20333312	671	1504	834	670	182	1686
1	ENST00000369787	+	ENSG00000116396	KCNC4	protein_coding	110211473	110249124	28	1935	1908	27	16815	18750
7	ENST00000265720	+	ENSG00000105865	DUS4L	protein_coding	107563971	107578523	350	1303	954	349	963	2266
3	ENST00000296456	+	ENSG00000164062	APEH	protein_coding	49674351	49683971	52	2250	2199	51	629	2879
19	ENST00000396720	+	ENSG00000063169	BICRA	protein_coding	47608196	47703277	195	4877	4683	194	862	5739
18	ENST00000269205	-	ENSG00000141437	SLC25A52	protein_coding	31759584	31760880	220	1113	894	219	184	1297
2	ENST00000396097	+	ENSG00000134324	LPIN1	protein_coding	11724334	11827405	278	3076	2799	277	2614	5690
17	ENST00000392795	-	ENSG00000007312	CD79B	protein_coding	63928740	63932336	76	768	693	75	486	1254
19	ENST00000078429	+	ENSG00000088256	GNA11	protein_coding	3094362	3123999	291	1370	1080	290	2820	4190
4	ENST00000273814	-	ENSG00000145214	DGKQ	protein_coding	958887	973569	88	2916	2829	87	1733	4649
17	ENST00000307641	+	ENSG00000168256	NKIRAS2	protein_coding	42017020	42025644	622	1197	576	621	1751	2948
11	ENST00000227451	+	ENSG00000110042	DTX4	protein_coding	59172132	59208588	465	2324	1860	464	3679	6003
1	ENST00000406462	+	ENSG00000121957	GPSM2	protein_coding	108875350	108934545	774	2828	2055	773	4605	7433
6	ENST00000303324	-	ENSG00000168131	OR2B2	protein_coding	27911185	27912396	78	1151	1074	77	61	1212
5	ENST00000285873	-	ENSG00000082516	GEMIN5	protein_coding	154887411	154938211	79	4605	4527	78	799	5404
15	ENST00000260386	+	ENSG00000137825	ITPKA	protein_coding	41493874	41503551	55	1440	1386	54	385	1825
1	ENST00000369413	+	ENSG00000203857	HSD3B1	protein_coding	119507210	119515054	139	1260	1122	138	409	1669
3	ENST00000265029	+	ENSG00000090512	FETUB	protein_coding	186640399	186653141	63	1211	1149	62	510	1721
15	ENST00000434634	-	ENSG00000177082	WDR73	protein_coding	84639285	84654283	10	1146	1137	9	4185	5331
2	ENST00000680000	-	ENSG00000003393	ALS2	protein_coding	201701795	201781158	343	5298	4956	342	2306	7604
16	ENST00000445369	+	ENSG00000213937	CLDN9	protein_coding	3012923	3014505	441	1094	654	440	489	1583
7	ENST00000425073	-	ENSG00000001631	KRIT1	protein_coding	92199420	92245914	3162	5372	2211	3161	1316	6688
1	ENST00000621943	-	ENSG00000066322	ELOVL1	protein_coding	43363398	43367738	268	1107	840	267	518	1625
19	ENST00000586783	-	ENSG00000132016	BRME1	protein_coding	13882348	13906117	425	2431	2007	424	454	2885
6	ENST00000612966	+	ENSG00000287080	H3C3	protein_coding	26045384	26045869	28	438	411	27	48	486
2	ENST00000016946	+	ENSG00000015568	RGPD5	protein_coding	109794305	109857705	162	5459	5298	161	1809	7268
14	ENST00000288014	+	ENSG00000259431	THTPA	protein_coding	23556271	23560271	488	1180	693	487	1431	2611
7	ENST00000620827	+	ENSG00000196247	ZNF107	protein_coding	64666133	64711577	151	2709	2559	150	2921	5630
6	ENST00000254765	-	ENSG00000132429	POPDC3	protein_coding	105157900	105180014	434	1309	876	433	570	1879
4	ENST00000312465	+	ENSG00000138675	FGF5	protein_coding	80266664	80291017	162	968	807	161	4345	5313
18	ENST00000255224	-	ENSG00000132872	SYT4	protein_coding	43267892	43277490	210	1487	1278	209	2449	3936
11	ENST00000263181	-	ENSG00000121621	KIF18A	protein_coding	28020619	28108156	140	2836	2697	139	581	3417
21	ENST00000429238	-	ENSG00000249209	ENSG00000249209	protein_coding	33584687	33931607	352	1081	730	351	-3	1078
19	ENST00000676793	-	ENSG00000167680	SEMA6B	protein_coding	4542593	4581776	347	3013	2667	346	1008	4021
22	ENST00000418951	+	ENSG00000099968	BCL2L13	protein_coding	17638584	17730855	770	1741	972	769	3321	5062
2	ENST00000482026	+	ENSG00000288702	UGT1A3	protein_coding	233729042	233773300	86	1690	1605	85	741	2431
3	ENST00000295899	-	ENSG00000163634	THOC7	protein_coding	63833870	63863805	16	630	615	15	262	892
8	ENST00000521913	+	ENSG00000092964	DPYSL2	protein_coding	26514031	26658175	296	2329	2034	295	2469	4798
7	ENST00000408955	+	ENSG00000221910	OR2F2	protein_coding	143935233	143936186	1	954	954	0	0	954
17	ENST00000254051	-	ENSG00000131746	TNS4	protein_coding	40475834	40501623	186	2333	2148	185	1754	4087
14	ENST00000547848	-	ENSG00000187537	POTEG	protein_coding	19402486	19434341	53	1579	1527	52	625	2204
10	ENST00000238936	+	ENSG00000138111	MFSD13A	protein_coding	102461395	102477045	238	1791	1554	237	1061	2852
5	ENST00000399564	-	ENSG00000171495	MROH2B	protein_coding	40998020	41071342	491	5248	4758	490	32	5280
17	ENST00000374759	-	ENSG00000157637	SLC38A10	protein_coding	81244811	81295307	387	3746	3360	386	745	4491
1	ENST00000696556	-	ENSG00000097096	SYDE2	protein_coding	85156889	85201724	138	4313	4176	137	1861	6174
18	ENST00000269195	+	ENSG00000141429	GALNT1	protein_coding	35581740	35711834	227	1906	1680	226	2064	3970
5	ENST00000327245	-	ENSG00000118322	ATP10B	protein_coding	160563120	160852211	847	5232	4386	846	2333	7565
18	ENST00000590202	-	ENSG00000175322	ZNF519	protein_coding	14099938	14132435	159	1781	1623	158	4979	6760
1	ENST00000369604	-	ENSG00000116793	PHTF1	protein_coding	113696831	113759486	495	2783	2289	494	874	3657
12	ENST00000378743	-	ENSG00000133858	ZFC3H1	protein_coding	71609599	71663848	239	6208	5970	238	829	7037
17	ENST00000322652	+	ENSG00000178691	SUZ12	protein_coding	31937007	32001038	241	2460	2220	240	2035	4495
7	ENST00000398475	+	ENSG00000086730	LAT2	protein_coding	74209981	74226508	138	869	732	137	1584	2453
21	ENST00000399137	-	ENSG00000159261	CLDN14	protein_coding	36460621	36480090	868	1587	720	867	355	1942
20	ENST00000394552	+	ENSG00000101898	MCTS2	protein_coding	31547379	31548081	126	671	546	125	32	703
8	ENST00000623280	+	ENSG00000185728	YTHDF3	protein_coding	63168553	63212785	510	2114	1605	509	3079	5193
1	ENST00000371833	-	ENSG00000162373	BEND5	protein_coding	48727519	48776891	61	1326	1266	60	367	1693
14	ENST00000280979	+	ENSG00000151320	AKAP6	protein_coding	32329298	32837684	146	7105	6960	145	7879	14984
2	ENST00000683871	+	ENSG00000048991	R3HDM1	protein_coding	135531484	135725269	400	3804	3405	399	977	4781
7	ENST00000651129	-	ENSG00000196275	GTF2IRD2	protein_coding	74796185	74851518	851	4186	3336	850	477	4663
6	ENST00000182527	-	ENSG00000065308	TRAM2	protein_coding	52497408	52577060	146	1258	1113	145	5789	7047
8	ENST00000331890	-	ENSG00000182325	FBXL6	protein_coding	144355431	144358472	26	1645	1620	25	100	1745
1	ENST00000368747	+	ENSG00000203784	LELP1	protein_coding	153203430	153205120	124	420	297	123	116	536
20	ENST00000422556	-	ENSG00000158480	SPATA2	protein_coding	49903394	49913739	351	1913	1563	350	2225	4138
16	ENST00000647644	-	ENSG00000127580	WDR24	protein_coding	684633	690247	608	3202	2595	607	101	3303
1	ENST00000361735	+	ENSG00000010165	METTL13	protein_coding	171781660	171797716	309	2408	2100	308	960	3368
19	ENST00000673603	+	ENSG00000268480	NFILZ	protein_coding	8630655	8681151	665	1534	870	664	3516	5050
1	ENST00000369039	+	ENSG00000143382	ADAMTSL4	protein_coding	150549369	150560932	290	3583	3294	289	736	4319
17	ENST00000285071	-	ENSG00000154803	FLCN	protein_coding	17212212	17237168	485	2224	1740	484	1443	3667
14	ENST00000337425	-	ENSG00000170054	SERPINA9	protein_coding	94462723	94476333	162	1469	1308	161	370	1839
5	ENST00000316610	-	ENSG00000176055	MBLAC2	protein_coding	90458209	90474771	480	1319	840	479	2958	4277
7	ENST00000223129	-	ENSG00000106399	RPA3	protein_coding	7636518	7718607	1173	1538	366	1172	482	2020
3	ENST00000321725	+	ENSG00000010327	STAB1	protein_coding	52495338	52524495	77	7789	7713	76	139	7928
17	ENST00000007735	-	ENSG00000006059	KRT33A	protein_coding	41346092	41350828	62	1276	1215	61	27	1303
7	ENST00000341119	-	ENSG00000075303	SLC25A40	protein_coding	87833568	87876360	359	1375	1017	358	2681	4056
2	ENST00000644580	+	ENSG00000204311	PJVK	protein_coding	178451378	178462102	415	1473	1059	414	828	2301
11	ENST00000378397	+	ENSG00000205030	OR5L2	protein_coding	55827219	55828154	1	936	936	0	0	936
X	ENST00000380041	+	ENSG00000047634	SCML1	protein_coding	17737493	17754985	305	1294	990	304	1593	2887
17	ENST00000583648	+	ENSG00000108424	KPNB1	protein_coding	47649495	47685505	451	3081	2631	450	3101	6182
1	ENST00000366559	+	ENSG00000117009	KMO	protein_coding	241532378	241595642	68	1528	1461	67	3489	5017
2	ENST00000428343	-	ENSG00000196460	RFX8	protein_coding	101397359	101475112	530	1951	1422	529	189	2140
6	ENST00000211122	-	ENSG00000174156	GSTA3	protein_coding	52896646	52909698	80	748	669	79	160	908
X	ENST00000250617	-	ENSG00000129675	ARHGEF6	protein_coding	136665550	136780932	51	2381	2331	50	2479	4860
4	ENST00000506455	+	ENSG00000164116	GUCY1A1	protein_coding	155666848	155737059	305	2377	2073	304	6828	9205
5	ENST00000254037	+	ENSG00000131732	ZCCHC9	protein_coding	81301603	81313297	3156	3971	816	3155	635	4606
9	ENST00000458258	-	ENSG00000119314	PTBP3	protein_coding	112217716	112333026	184	1860	1677	183	6135	7995
6	ENST00000377850	-	ENSG00000112337	SLC17A2	protein_coding	25912754	25930691	499	1935	1437	498	563	2498
13	ENST00000379939	+	ENSG00000172915	NBEA	protein_coding	34942270	35672736	552	9455	8904	551	1745	11200
6	ENST00000449742	-	ENSG00000204613	TRIM10	protein_coding	30151943	30161211	354	1799	1446	353	2026	3825
3	ENST00000482804	+	ENSG00000151967	SCHIP1	protein_coding	159852939	159897349	442	1224	783	441	575	1799
16	ENST00000253458	+	ENSG00000131149	GSE1	protein_coding	85613322	85676200	71	3724	3654	70	3661	7385
15	ENST00000303052	-	ENSG00000169118	CSNK1G1	protein_coding	64165525	64356173	411	1679	1269	410	6406	8085
19	ENST00000360675	+	ENSG00000006659	LGALS14	protein_coding	39704481	39709313	267	773	507	266	0	773
KI270734.1	ENST00000621424	-	ENSG00000277196	PRODH	protein_coding	138082	161852	205	2007	1803	204	398	2405
16	ENST00000647079	+	ENSG00000197912	SPG7	protein_coding	89490917	89557748	696	2675	1980	695	655	3330
17	ENST00000576617	-	ENSG00000132514	CLEC10A	protein_coding	7074795	7080248	271	1041	771	270	759	1800
1	ENST00000370548	+	ENSG00000267561	ENSG00000267561	protein_coding	86993009	87169204	74	985	912	73	1028	2013
12	ENST00000266742	+	ENSG00000139350	NEDD1	protein_coding	96907257	96953780	306	2288	1983	305	1727	4015
16	ENST00000646076	+	ENSG00000102974	CTCF	protein_coding	67562467	67639176	502	2685	2184	501	1304	3989
19	ENST00000586600	+	ENSG00000104957	YJU2B	protein_coding	13731760	13763296	504	1694	1191	503	228	1922
5	ENST00000331327	+	ENSG00000185129	PURA	protein_coding	140114109	140125619	74	1042	969	73	10469	11511
1	ENST00000615281	-	ENSG00000263956	NBPF11	protein_coding	148102151	148152322	1152	3749	2598	1151	1745	5494
1	ENST00000445067	+	ENSG00000064886	CHI3L2	protein_coding	111200771	111243439	772	1944	1173	771	225	2169
2	ENST00000333527	-	ENSG00000182698	RESP18	protein_coding	219327407	219333177	1	687	687	0	110	797
2	ENST00000409544	+	ENSG00000075292	ZNF638	protein_coding	71331764	71435061	631	6567	5937	630	254	6821
5	ENST00000507359	+	ENSG00000183775	KCTD16	protein_coding	144205277	144485686	1092	2378	1287	1091	11572	13950
19	ENST00000618550	-	ENSG00000183248	PRR36	protein_coding	7868719	7874390	113	4153	4041	112	314	4467
6	ENST00000369046	+	ENSG00000130348	QRSL1	protein_coding	106629578	106668417	105	1691	1587	104	2415	4106
17	ENST00000588734	-	ENSG00000167900	TK1	protein_coding	78174121	78187233	240	1043	804	239	638	1681
11	ENST00000389887	+	ENSG00000166105	GLB1L3	protein_coding	134274245	134305308	2497	3438	942	2496	128	3566
X	ENST00000373521	+	ENSG00000184388	PABPC1L2B	protein_coding	73002939	73006106	705	1307	603	704	1861	3168
16	ENST00000301030	-	ENSG00000167522	ANKRD11	protein_coding	89267630	89490561	462	8453	7992	461	848	9301
X	ENST00000689314	+	ENSG00000171100	MTM1	protein_coding	150568738	150673118	140	1996	1857	139	1523	3519
12	ENST00000338432	+	ENSG00000076555	ACACB	protein_coding	109116587	109268226	128	7504	7377	127	1864	9368
9	ENST00000239316	+	ENSG00000120211	INSL4	protein_coding	5231419	5235304	106	525	420	105	1427	1952
4	ENST00000433731	-	ENSG00000178222	RNF212	protein_coding	1071478	1113564	101	994	894	100	1396	2390
8	ENST00000523676	-	ENSG00000184428	TOP1MT	protein_coding	143309377	143334795	407	1918	1512	406	64	1982
8	ENST00000301905	-	ENSG00000168078	PBK	protein_coding	27809624	27837817	187	1155	969	186	681	1836
15	ENST00000394855	+	ENSG00000140403	DNAJA4	protein_coding	78264086	78282196	229	1509	1281	228	1736	3245
11	ENST00000397583	+	ENSG00000099849	RASSF7	protein_coding	560970	564025	516	1637	1122	515	380	2017
7	ENST00000464848	+	ENSG00000105948	TTC26	protein_coding	139133778	139191986	81	1745	1665	80	2554	4299
9	ENST00000259357	-	ENSG00000136834	OR1J1	protein_coding	122476958	122477926	1	969	969	0	0	969
1	ENST00000641644	+	ENSG00000198104	OR2T6	protein_coding	248375746	248391811	468	1394	927	467	3276	4670
10	ENST00000304613	+	ENSG00000171798	KNDC1	protein_coding	133160219	133226412	250	5499	5250	249	1522	7021
19	ENST00000381848	-	ENSG00000214456	PLIN5	protein_coding	4522531	4535224	82	1473	1392	81	997	2470
7	ENST00000639438	-	ENSG00000106331	PAX4	protein_coding	127610292	127618142	407	1462	1056	406	772	2234
